SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,DeepQNetwork
18,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,463
237,95,213,282,168,348,205,306,306,215,288,413,282,228,90,281,302,281
327,96,255,312,237,120,316,296,120,307,312,220,91,293,189,327,179,253
324,497,157,318,315,204,169,315,318,197,2,218,173,136,324,131,178,223
288,99,304,308,279,339,173,169,94,334,294,235,300,358,300,230,354,284
309,265,190,273,273,220,60,176,155,103,279,206,309,226,279,98,135,321
144,102,85,255,92,323,157,312,291,127,318,399,318,127,291,312,192,263
309,337,47,194,312,237,261,231,282,217,309,177,282,291,276,232,337,104
267,212,191,303,327,128,317,222,321,327,321,292,317,128,327,303,251,82
321,98,71,128,285,218,307,236,321,261,282,198,285,133,291,93,246,206
318,126,227,314,276,132,186,318,316,137,276,79,227,101,332,159,164,287
273,295,419,122,330,298,293,263,330,122,164,50,307,163,270,270,153,307
249,95,62,279,273,309,293,279,267,90,35,202,312,120,115,312,267,455
309,350,151,159,309,159,236,45,201,208,303,96,125,130,311,303,193,91
282,94,433,282,168,89,231,244,309,112,255,231,226,315,112,309,269,366
180,144,405,94,197,185,287,309,130,149,147,402,144,135,309,287,175,162
0,530,278,139,270,131,165,324,287,299,249,67,324,195,131,270,114,213
18,152,207,318,255,158,256,321,137,142,321,136,153,315,318,202,97,443
