SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,QLearning
114,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,399
255,109,218,312,303,324,188,285,285,193,264,58,312,243,104,99,330,104
321,111,232,279,267,212,277,307,212,317,279,237,106,97,162,321,157,117
291,512,197,309,282,198,193,282,309,217,2,143,185,127,291,122,190,238
288,98,296,322,276,351,187,226,93,95,297,221,282,358,282,221,352,95
300,245,227,324,324,242,60,102,131,156,291,225,300,235,291,151,116,312
156,118,92,297,108,103,166,300,324,114,324,381,324,114,324,300,206,108
303,268,53,104,297,196,288,247,297,257,303,242,297,302,313,191,332,129
279,108,187,321,300,119,268,192,324,329,324,242,268,124,300,321,207,108
300,110,82,132,285,255,304,233,300,283,279,220,285,137,287,105,183,228
303,120,213,311,276,129,172,303,307,134,276,81,213,95,93,175,180,93
312,283,417,137,330,274,342,229,330,137,172,63,105,148,306,306,138,110
252,113,65,309,273,337,293,309,245,108,150,228,288,138,133,288,233,435
306,324,165,134,306,134,285,39,106,191,276,106,132,137,281,276,171,106
327,114,76,327,306,109,147,241,306,186,252,238,233,312,181,306,276,242
126,148,376,98,92,175,317,270,125,136,166,431,131,130,270,317,170,102
0,490,131,167,321,147,174,276,307,300,230,47,276,204,142,321,142,251
114,150,226,291,258,186,222,276,119,119,276,147,181,318,291,221,95,414
